code,name
BK1295,其他数字媒体
BK1513,海洋捕捞
BK1383,航海装备Ⅲ
BK1230,航海装备Ⅱ
BK1298,文字媒体
BK1300,院线
BK1260,渔业
BK1326,半导体设备
BK1384,航空装备Ⅲ
BK1231,航空装备Ⅱ
BK1297,图片媒体
BK1360,金融信息服务
BK1445,安防设备
BK1382,地面兵装Ⅲ
BK1229,地面兵装Ⅱ
BK1514,水产养殖
BK1342,房地产综合服务
BK1545,特种纸
BK1497,化妆品制造及其他
BK1410,其他自动化设备
BK1502,林业Ⅲ
BK1255,林业Ⅱ
BK1204,国防军工
BK1564,体育Ⅲ
BK1273,体育Ⅱ
BK1561,旅游综合
BK1267,造纸
BK1484,公交
BK1521,摩托车
BK1544,大宗用纸
BK1448,横向通用软件
BK1458,个护小家电
BK1443,橡胶助剂
BK1408,机器人
BK0735,计算机设备
BK1562,人工景区
BK0458,仪器仪表
BK1222,影视院线
BK1487,公路货运
BK1263,摩托车及其他
BK1446,其他计算机设备
BK1449,冰洗
BK1540,其他家居用品
BK1307,电机Ⅲ
BK1030,电机Ⅱ
BK1518,种子
BK1438,合成树脂
BK1439,膜材料
BK1519,电动乘用车
BK1528,其他汽车零部件
BK1272,旅游及景区
BK1560,酒店
BK1627,综合Ⅲ
BK1217,综合
BK0539,综合Ⅱ
BK1237,自动化设备
BK1221,数字媒体
BK1526,底盘与发动机系统
BK1471,工程咨询服务Ⅲ
BK0726,工程咨询服务Ⅱ
BK1304,锂电专用设备
BK1385,航天装备Ⅲ
BK1577,啤酒
BK0481,汽车零部件
BK1529,汽车电子电气系统
BK1232,航天装备Ⅱ
BK1338,消费电子零部件及组装
BK1525,车身附件及饰件
BK1239,白色家电
BK1522,其他运输设备
BK1036,半导体
BK1211,汽车
BK1271,酒店餐饮
BK1524,汽车综合服务
BK1037,消费电子
BK1330,模拟芯片设计
BK1536,综合包装
BK1333,LED
BK1477,其他专业工程
BK1533,塑料包装
BK1473,园林工程
BK1325,半导体材料
BK1388,大气治理
BK1491,端到端供应链服务
BK1386,军工电子Ⅲ
BK1233,军工电子Ⅱ
BK1557,培训教育
BK1457,厨房小家电
BK1343,物业管理
BK1442,炭黑
BK1201,电子
BK1405,其他专用设备
BK1474,钢结构
BK1261,种植业
BK1243,其他家电Ⅱ
BK1456,其他家电Ⅲ
BK1331,数字芯片设计
BK1329,集成电路制造
BK1328,集成电路封测
BK1299,影视动漫制作
BK1262,乘用车
BK1543,娱乐用品
BK1567,其他专业服务
BK1534,印刷
BK1455,家电零部件Ⅲ
BK1242,家电零部件Ⅱ
BK1356,其他饰品
BK1364,资产管理
BK1214,社会服务
BK1016,汽车服务
BK1244,小家电
BK1212,轻工制造
BK1409,激光设备
BK1559,餐饮
BK1501,动物保健Ⅲ
BK1254,动物保健Ⅱ
BK1404,农用机械
BK1349,棉纺
BK1503,果蔬加工
BK1509,水产饲料
BK1045,房地产服务
BK1402,楼宇设备
BK1563,自然景区
BK1603,体外诊断
BK1610,股份制银行Ⅲ
BK1504,粮油加工
BK1279,非白酒
BK0433,农林牧渔
BK1527,轮胎轮毂
BK0545,通用设备
BK1207,计算机
BK1302,电池化学品
BK1340,印制电路板
BK1205,机械设备
BK0454,塑料
BK0737,软件开发
BK1336,其他电子Ⅲ
BK1223,其他电子Ⅱ
BK1018,橡胶
BK1209,建筑装饰
BK1566,检测服务
BK1406,印刷包装机械
BK1033,电池
BK1346,住宅开发
BK1348,辅料
BK1608,中药Ⅲ
BK1040,中药Ⅱ
BK1538,瓷砖地板
BK1387,环保设备Ⅲ
BK1234,环保设备Ⅱ
BK1038,光学光电子
BK1252,化妆品
BK1437,改性塑料
BK1605,医疗设备
BK0440,家居用品
BK1265,包装印刷
BK1520,综合乘用车
BK1523,汽车经销商
BK1303,锂电池
BK1531,商用载客车
BK1390,水务及水治理
BK1580,肉制品
BK1202,房地产
BK0456,家用电器
BK1393,工程机械整机
BK1395,机床工具
BK1248,专业工程
BK1508,畜禽饲料
BK1549,旅游零售Ⅲ
BK1269,旅游零售Ⅱ
BK0451,房地产开发
BK0728,环保
BK1452,卫浴电器
BK1258,饲料
BK1235,环境治理
BK1396,金属制品
BK1517,食用菌
BK1601,医院
BK1398,其他通用设备
BK1266,文娱用品
BK0910,专用设备
BK1043,专业服务
BK1428,其他化学制品
BK1344,产业地产
BK1335,面板
BK1554,商业物业经营
BK1240,厨卫电器
BK0459,元件
BK1289,大众出版
BK0725,装修装饰Ⅱ
BK1478,装修装饰Ⅲ
BK1451,厨房电器
BK0421,铁路公路
BK1041,医疗器械
BK1394,轨交设备Ⅲ
BK1247,基础建设
BK1236,轨交设备Ⅱ
BK1510,其他养殖
BK1334,光学元件
BK1441,其他橡胶制品
BK1466,管材
BK1598,疫苗
BK1389,固废治理
BK1578,其他酒类
BK1352,非运动服装
BK1332,电子化学品Ⅲ
BK1039,电子化学品Ⅱ
BK1044,生物制品
BK1596,其他生物制品
BK1535,纸包装
BK1589,通信应用增值服务
BK1602,诊断服务
BK1512,生猪养殖
BK1515,粮食种植
BK1256,农产品加工
BK1391,综合环境治理
BK0740,教育
BK1454,其他黑色家电
BK1516,其他种植业
BK1581,预加工食品
BK1407,工控设备
BK1555,专业连锁Ⅲ
BK1270,专业连锁Ⅱ
BK1595,原料药
BK1585,乳品
BK1587,电信运营商
BK0739,工程机械
BK1483,高速公路
BK1216,医药生物
BK1447,垂直应用软件
BK0422,物流
BK1225,服装家纺
BK1597,血液制品
BK1450,空调
BK1282,饮料乳品
BK1609,城商行Ⅲ
BK1283,银行
BK0475,银行Ⅱ
BK1280,食品加工
BK1532,金属包装
BK1259,养殖业
BK0736,通信服务
BK1546,电商服务
BK1430,涂料油墨
BK1507,宠物食品
BK1570,其他石化
BK0438,食品饮料
BK1480,机场
BK0436,纺织服饰
BK1425,胶黏剂及胶带
BK1582,烘焙食品
BK1553,多业态零售
BK1224,纺织制造
BK1537,成品家居
BK0465,化学制药
BK1355,运动服装
BK1354,鞋帽及其他
BK1607,医药流通
BK1621,锂
BK0538,化学制品
BK1604,医疗耗材
BK1472,基建市政工程
BK1588,通信工程及服务
BK1586,软饮料
BK1403,能源及重型设备
BK1337,品牌消费电子
BK1488,跨境物流
BK1594,化学制剂
BK1035,美容护理
BK1475,国际工程
BK1459,清洁小家电
BK1218,出版
BK1539,定制家居
BK1365,租赁
BK1593,通信终端及配件
BK1575,白酒Ⅲ
BK1277,白酒Ⅱ
BK1381,燃气Ⅲ
BK1028,燃气Ⅱ
BK1042,医药商业
BK1429,食品及饲料添加剂
BK1238,IT服务Ⅱ
BK1444,IT服务Ⅲ
BK1427,民爆制品
BK1619,其他金属新材料
BK0482,一般零售
BK1400,制冷空调设备
BK1511,肉鸡养殖
BK1213,商贸零售
BK1565,会展服务
BK1281,休闲食品
BK1341,房产租赁经纪
BK1548,综合电商
BK0738,多元金融
BK1322,其他电源设备Ⅲ
BK1339,被动元件
BK1612,农商行Ⅲ
BK1361,期货
BK1376,核力发电
BK1264,商用车
BK1345,商业地产
BK0734,饰品
BK1268,互联网电商
BK1576,调味发酵品Ⅲ
BK1278,调味发酵品Ⅱ
BK1496,洗护用品
BK1436,农药
BK1599,其他医疗服务
BK1347,纺织鞋类制造
BK1500,医美耗材
BK1351,印染
BK1206,基础化工
BK1541,卫浴制品
BK1327,分立器件
BK1486,仓储物流
BK1579,保健品
BK1203,非银金融
BK1550,贸易Ⅲ
BK0484,贸易Ⅱ
BK1583,零食
BK1490,原材料供应链服务
BK1366,证券Ⅲ
BK0473,证券Ⅱ
BK1392,工程机械器件
BK1590,其他通信设备
BK1611,国有大型银行Ⅲ
BK1357,钟表珠宝
BK1584,熟食
BK1241,黑色家电
BK1415,其他化学纤维
BK1431,有机硅
BK1424,氟化工
BK1505,其他农产品加工
BK1306,蓄电池及其他电池
BK1464,水泥制造
BK1440,其他塑料制品
BK1433,复合肥
BK1350,其他纺织
BK1468,其他建材Ⅲ
BK1552,超市
BK1353,家纺
BK1606,线下药店
BK1470,房屋建设Ⅲ
BK1246,房屋建设Ⅱ
BK0727,医疗服务
BK1210,交通运输
BK1253,医疗美容
BK1547,跨境电商
BK1371,铁矿石
BK1460,照明设备Ⅲ
BK1245,照明设备Ⅱ
BK1379,热力服务
BK1362,其他多元金融
BK0486,传媒
BK0420,航空机场
BK1530,商用载货车
BK0476,装修建材
BK1251,个护用品
BK0424,水泥
BK1489,快递
BK1313,风电零部件
BK1551,百货
BK1494,焦煤
BK1034,其他电源设备Ⅱ
BK1032,风电设备
BK1312,线缆部件及其他
BK1571,油品石化贸易
BK1467,耐火材料
BK0731,农化制品
BK1495,生活用纸
BK1506,农业综合Ⅲ
BK1257,农业综合Ⅱ
BK1309,电网自动化设备
BK0474,保险Ⅱ
BK1358,保险Ⅲ
BK1200,电力设备
BK1314,风电整机
BK1418,氯碱
BK1422,无机盐
BK1542,文化用品
BK1479,航空运输
BK1463,水泥制品
BK1290,教育出版
BK1414,锦纶
BK1568,人力资源服务
BK1250,煤炭开采
BK1294,门户网站
BK1274,炼化及贸易
BK1015,能源金属
BK1498,品牌化妆品
BK1374,风力发电
BK1401,纺织服装设备
BK0427,公用事业
BK1291,电视广播Ⅲ
BK1219,电视广播Ⅱ
BK1573,油田服务
BK1359,金融控股
BK1228,冶钢原料
BK1426,聚氨酯
BK1288,金属新材料
BK1215,通信
BK1310,配电设备
BK1301,游戏Ⅲ
BK1046,游戏Ⅱ
BK1493,动力煤
BK1556,教育运营及其他
BK1020,非金属材料Ⅱ
BK1411,非金属材料Ⅲ
BK0457,电网设备
BK0437,煤炭
BK1208,建筑材料
BK1600,医疗研发外包
BK1308,电工仪器仪表
BK1397,磨具磨料
BK1476,化学工程
BK1420,其他化学原料
BK1377,火力发电
BK0464,石油石化
BK1380,水力发电
BK1423,纺织化学制品
BK1453,彩电
BK0428,电力
BK1481,港口
BK1485,铁路运输
BK1499,医美服务
BK1321,火电设备
BK1613,铝
BK0471,化学纤维
BK1305,燃料电池
BK1019,化学原料
BK1373,电能综合服务
BK1574,油气开采Ⅲ
BK1276,油气开采Ⅱ
BK0448,通信设备
BK1558,学历教育
BK1416,粘胶
BK1614,铅锌
BK1435,磷肥及磷化工
BK1318,光伏主材
BK1363,信托
BK1368,钢铁管材
BK1617,黄金
BK0478,有色金属
BK1287,工业金属
BK1372,冶钢辅料
BK1275,油服工程
BK1324,储能
BK0732,贵金属
BK1434,钾肥
BK1591,通信网络设备及器件
BK1432,氮肥
BK1419,煤化工
BK1249,焦炭Ⅱ
BK1469,涂料
BK1492,焦炭Ⅲ
BK1296,视频媒体
BK1413,涤纶
BK1311,输变电设备
BK1292,广告媒体
BK1624,其他小金属
BK1421,钛白粉
BK0479,钢铁
BK0450,航运港口
BK1465,防水材料
BK1370,特钢Ⅲ
BK1227,特钢Ⅱ
BK1375,光伏发电
BK1618,磁性材料
BK1569,炼油化工
BK1367,板材
BK1616,白银
BK1378,其他能源发电
BK1226,普钢
BK1615,铜
BK1461,玻璃制造
BK1623,钼
BK1417,纯碱
BK1027,小金属
BK1572,油气及炼化工程
BK1220,广告营销
BK1482,航运
BK1323,综合电力设备商
BK1317,光伏加工设备
BK1293,营销代理
BK1412,氨纶
BK0546,玻璃玻纤
BK1320,逆变器
BK1031,光伏设备
BK1319,硅料硅片
BK1622,镍
BK1315,光伏电池组件
BK1316,光伏辅材
BK1462,玻纤制造
BK1620,钴
BK1369,长材
BK1625,钨
BK1626,稀土
BK1592,通信线缆及配套
